project-id,recipient-country-details,donor-details,project-title,sector,project-start,project-end,project-category,project-subcategory,total-budget($),total-expenditure($),DataID,ModifyDate,FileName,category,type,id,name,last_modified,file_name,url,mime_type
105422,"[{'recipient-country-code': 'OM', 'recipient-country': 'Oman', 'ldc-indicator': '-', 'region': 'WEST ASIA ARAB STATES'}]","[{'donor': 'Montreal Protocol', 'donor-type': 'Montreal Protocol (MLF)', 'donor-country-code': 'nan', 'donor-country': 'nan'}]",Institutional Strengthening Project,Biosphere protection,12/2/2011,8/31/2026,Safeguarding the Environ., Implementation of MEA,559644.16,551304.87,2310438,2020-08-07T20:54:49+0000,7362_Oman_IS_phaseV_aproval.pdf,projectDocument,document,2310438,7362_Oman_IS_phaseV_aproval.pdf,2020-08-07T20:54:49+0000,7362_Oman_IS_phaseV_aproval.pdf,https://downloads.unido.org/ot/23/10/2310438/7362_Oman_IS_phaseV_aproval.pdf,application/pdf
105422,"[{'recipient-country-code': 'OM', 'recipient-country': 'Oman', 'ldc-indicator': '-', 'region': 'WEST ASIA ARAB STATES'}]","[{'donor': 'Montreal Protocol', 'donor-type': 'Montreal Protocol (MLF)', 'donor-country-code': 'nan', 'donor-country': 'nan'}]",Institutional Strengthening Project,Biosphere protection,12/2/2011,8/31/2026,Safeguarding the Environ., Implementation of MEA,559644.16,551304.87,2311431,2020-08-07T20:54:53+0000,Oman_IS_65th ExCom.pdf,projectDocument,document,2311431,Oman_IS_65th ExCom.pdf,2020-08-07T20:54:53+0000,Oman_IS_65th ExCom.pdf,https://downloads.unido.org/ot/23/11/2311431/Oman_IS_65th ExCom.pdf,application/pdf
105422,"[{'recipient-country-code': 'OM', 'recipient-country': 'Oman', 'ldc-indicator': '-', 'region': 'WEST ASIA ARAB STATES'}]","[{'donor': 'Montreal Protocol', 'donor-type': 'Montreal Protocol (MLF)', 'donor-country-code': 'nan', 'donor-country': 'nan'}]",Institutional Strengthening Project,Biosphere protection,12/2/2011,8/31/2026,Safeguarding the Environ., Implementation of MEA,559644.16,551304.87,17171247,2020-08-10T18:16:14+0000,Project Concept - Phase VI.pdf,projectDocument,document,17171247,Project Concept - Phase VI.pdf,2020-08-10T18:16:14+0000,Project Concept - Phase VI.pdf,https://downloads.unido.org/ot/17/17/17171247/Project Concept - Phase VI.pdf,application/pdf
105422,"[{'recipient-country-code': 'OM', 'recipient-country': 'Oman', 'ldc-indicator': '-', 'region': 'WEST ASIA ARAB STATES'}]","[{'donor': 'Montreal Protocol', 'donor-type': 'Montreal Protocol (MLF)', 'donor-country-code': 'nan', 'donor-country': 'nan'}]",Institutional Strengthening Project,Biosphere protection,12/2/2011,8/31/2026,Safeguarding the Environ., Implementation of MEA,559644.16,551304.87,17171835,2020-08-10T18:16:14+0000,Project Concept - Phase VII.pdf,projectDocument,document,17171835,Project Concept - Phase VII.pdf,2020-08-10T18:16:14+0000,Project Concept - Phase VII.pdf,https://downloads.unido.org/ot/17/17/17171835/Project Concept - Phase VII.pdf,application/pdf
105422,"[{'recipient-country-code': 'OM', 'recipient-country': 'Oman', 'ldc-indicator': '-', 'region': 'WEST ASIA ARAB STATES'}]","[{'donor': 'Montreal Protocol', 'donor-type': 'Montreal Protocol (MLF)', 'donor-country-code': 'nan', 'donor-country': 'nan'}]",Institutional Strengthening Project,Biosphere protection,12/2/2011,8/31/2026,Safeguarding the Environ., Implementation of MEA,559644.16,551304.87,17172261,2020-08-10T18:16:14+0000,Project Concept - Phase V.pdf,projectDocument,document,17172261,Project Concept - Phase V.pdf,2020-08-10T18:16:14+0000,Project Concept - Phase V.pdf,https://downloads.unido.org/ot/17/17/17172261/Project Concept - Phase V.pdf,application/pdf
105422,"[{'recipient-country-code': 'OM', 'recipient-country': 'Oman', 'ldc-indicator': '-', 'region': 'WEST ASIA ARAB STATES'}]","[{'donor': 'Montreal Protocol', 'donor-type': 'Montreal Protocol (MLF)', 'donor-country-code': 'nan', 'donor-country': 'nan'}]",Institutional Strengthening Project,Biosphere protection,12/2/2011,8/31/2026,Safeguarding the Environ., Implementation of MEA,559644.16,551304.87,17172942,2020-08-10T18:16:16+0000,Project Concept - Phase IV.pdf,projectDocument,document,17172942,Project Concept - Phase IV.pdf,2020-08-10T18:16:16+0000,Project Concept - Phase IV.pdf,https://downloads.unido.org/ot/17/17/17172942/Project Concept - Phase IV.pdf,application/pdf
105422,"[{'recipient-country-code': 'OM', 'recipient-country': 'Oman', 'ldc-indicator': '-', 'region': 'WEST ASIA ARAB STATES'}]","[{'donor': 'Montreal Protocol', 'donor-type': 'Montreal Protocol (MLF)', 'donor-country-code': 'nan', 'donor-country': 'nan'}]",Institutional Strengthening Project,Biosphere protection,12/2/2011,8/31/2026,Safeguarding the Environ., Implementation of MEA,559644.16,551304.87,19655676,2020-12-15T15:14:32+0000,Project Concept - Phase VIII.pdf,projectDocument,document,19655676,Project Concept - Phase VIII.pdf,2020-12-15T15:14:32+0000,Project Concept - Phase VIII.pdf,https://downloads.unido.org/ot/19/65/19655676/Project Concept - Phase VIII.pdf,application/pdf
105422,"[{'recipient-country-code': 'OM', 'recipient-country': 'Oman', 'ldc-indicator': '-', 'region': 'WEST ASIA ARAB STATES'}]","[{'donor': 'Montreal Protocol', 'donor-type': 'Montreal Protocol (MLF)', 'donor-country-code': 'nan', 'donor-country': 'nan'}]",Institutional Strengthening Project,Biosphere protection,12/2/2011,8/31/2026,Safeguarding the Environ., Implementation of MEA,559644.16,551304.87,31032903,2023-06-30T14:37:47+0000,Project Concept - Phase IX.pdf,projectDocument,document,31032903,Project Concept - Phase IX.pdf,2023-06-30T14:37:47+0000,Project Concept - Phase IX.pdf,https://downloads.unido.org/ot/31/03/31032903/Project Concept - Phase IX.pdf,application/pdf
150208,"[{'recipient-country-code': 'TZ', 'recipient-country': 'United Republic of Tanzania', 'ldc-indicator': 'X', 'region': 'AFRICA'}]","[{'donor': 'GEF - Global Environment Facility', 'donor-type': 'Global Environment Facility (GEF)', 'donor-country-code': 'nan', 'donor-country': 'nan'}]",Promotion of Bio-Ethanol as Alternative Fuel for Cooking in the United Republic of Tanzania,nan,10/19/2015,10/20/2024,Safeguarding the Environ., Clean energy access,2557078.00,2439714.15,3362835,2020-08-07T23:03:33+0000,GEF Project Document 150208.pdf,projectDocument,document,3362835,GEF Project Document 150208,2020-08-07T23:03:33+0000,GEF Project Document 150208.pdf,https://downloads.unido.org/ot/33/62/3362835/GEF Project Document 150208.pdf,application/pdf
150208,"[{'recipient-country-code': 'TZ', 'recipient-country': 'United Republic of Tanzania', 'ldc-indicator': 'X', 'region': 'AFRICA'}]","[{'donor': 'GEF - Global Environment Facility', 'donor-type': 'Global Environment Facility (GEF)', 'donor-country-code': 'nan', 'donor-country': 'nan'}]",Promotion of Bio-Ethanol as Alternative Fuel for Cooking in the United Republic of Tanzania,nan,10/19/2015,10/20/2024,Safeguarding the Environ., Clean energy access,2557078.00,2439714.15,6055074,2020-08-08T03:40:37+0000,UNIDO GEF 6 CCM Tanzania CEO end 9281_resubmission app.pdf,projectDocument,document,6055074,UNIDO GEF 6 CCM Tanzania CEO end 9281_resubmission app.pdf,2020-08-08T03:40:37+0000,UNIDO GEF 6 CCM Tanzania CEO end 9281_resubmission app.pdf,https://downloads.unido.org/ot/60/55/6055074/UNIDO GEF 6 CCM Tanzania CEO end 9281_resubmission app.pdf,application/pdf
