,project-id,project-title,sector,project-category,project-subcategory,total-budget($),total-expenditure($),DataID,FileName,id,name,file_name,url,mime_type
33,190290,UNIDO's engagement with UN-Water in 2021 and 2022,Water resources conservation (including data collection),Safeguarding the Environ., RECP & LowCarbonPrd,27467.01,27011.22,15657129,2019_10_18 190290 Project Document UN Water 2021-2022.pdf,15657129,2019_10_18 190290 Project Document UN Water 2021-2022.pdf,2019_10_18 190290 Project Document UN Water 2021-2022.pdf,https://downloads.unido.org/ot/15/65/15657129/2019_10_18 190290 Project Document UN Water 2021-2022.pdf,application/pdf
39,210130,Promoting renewable energy based mini-grids for productive uses in rural areas of Zambia,"Energy generation, renewable sources - multiple technologies",Safeguarding the Environ., Clean energy access,81780.87,81616.09,30414903,SSS (210130).pdf,30414903,SSS (210130).pdf,SSS (210130).pdf,https://downloads.unido.org/ot/30/41/30414903/SSS (210130).pdf,application/pdf
40,180112,The Bahamas power system stability study for the implementation of a higher renewable energy penetration level,nan,Safeguarding the Environ., Clean energy access,316321.04,316321.04,13962662,"GCF Readiness Proposal - Bahamas, UNIDO-CTCN.PDF",13962662,"GCF Readiness Proposal - Bahamas, UNIDO-CTCN.PDF","GCF Readiness Proposal - Bahamas, UNIDO-CTCN.PDF","https://downloads.unido.org/ot/13/96/13962662/GCF Readiness Proposal - Bahamas, UNIDO-CTCN.PDF",application/pdf
41,190374,UNIDO - Sri Lanka country programme for inclusive and sustainable industrial development  2021-2025,nan,Cross-cutting Services, Regional Programmes,136399.68,18732.80,25432135,UNIDO CP Sri Lanka signed 30 November 2021.pdf,25432135,UNIDO CP Sri Lanka signed 30 November 2021.pdf,UNIDO CP Sri Lanka signed 30 November 2021.pdf,https://downloads.unido.org/ot/25/43/25432135/UNIDO CP Sri Lanka signed 30 November 2021.pdf,application/pdf
46,170065,Economic Empowerment of Women in Green Industry,Small and medium-sized enterprises (SME) development,Safeguarding the Environ., Clean energy access,1098602.84,1082680.90,13350363,EEWiGI_prodoc_BMZ contribution_final.pdf,13350363,EEWiGI_prodoc_BMZ contribution_final.pdf,EEWiGI_prodoc_BMZ contribution_final.pdf,https://downloads.unido.org/ot/13/35/13350363/EEWiGI_prodoc_BMZ contribution_final.pdf,application/pdf
47,160112,Strengthening the quality system of technology and industrial products and services in Bosnia and Herzegovina: Coordinate Measuring Machine Competence Centre,nan,Adv. Econ.Competitiveness, Competitive trade & CSR,363942.25,347289.58,13109025,ID 160112_BiH Final prodoc_28 MAR 2018 Final.pdf,13109025,ID 160112_BiH Final prodoc_28 MAR 2018 Final.pdf,ID 160112_BiH Final prodoc_28 MAR 2018 Final.pdf,https://downloads.unido.org/ot/13/10/13109025/ID 160112_BiH Final prodoc_28 MAR 2018 Final.pdf,application/pdf
48,190029,Programme for Country Partnership  in Egypt,nan,Cross-cutting Services, Regional Programmes,430739.77,430739.77,21128423,PCP_Egypt_PD validated_final.pdf,21128423,PCP_Egypt_PD validated_final.pdf,PCP_Egypt_PD validated_final.pdf,https://downloads.unido.org/ot/21/12/21128423/PCP_Egypt_PD validated_final.pdf,application/pdf
53,230040,Albania HCFC Phase-Out Management Plan  Stage III,Biosphere protection,Safeguarding the Environ., Implementation of MEA,20000.00,13370.49,30937695,230327 ALB HPMP III preparation request - final.pdf,30937695,1. Albania - HPMP Stage III - preparatory funding request,230327 ALB HPMP III preparation request - final.pdf,https://downloads.unido.org/ot/30/93/30937695/230327 ALB HPMP III preparation request - final.pdf,application/pdf
54,190283,Global Quality and Standards Programme Georgia: Strengthening conformity assessment for the fruits and vegetables value chain,Food safety and quality,Adv. Econ.Competitiveness, Competitive trade & CSR,348316.59,350182.27,17666211,190283_GQSP_Georgia ProDoc_June2020_FINAL.pdf,17666211,190283_GQSP_Georgia ProDoc_June2020_FINAL.pdf,190283_GQSP_Georgia ProDoc_June2020_FINAL.pdf,https://downloads.unido.org/ot/17/66/17666211/190283_GQSP_Georgia ProDoc_June2020_FINAL.pdf,application/pdf
55,230148,Preparation of Kigali HFC implementation plan,Chemicals,Safeguarding the Environ., Implementation of MEA,51000.00,1870.62,31070556,Burundi KIP-PRP-ExCom 92 FINAL rev after MLFS comments.pdf,31070556,1. Burundi – KIP Stage I – preparatory finding request,Burundi KIP-PRP-ExCom 92 FINAL rev after MLFS comments.pdf,https://downloads.unido.org/ot/31/07/31070556/Burundi KIP-PRP-ExCom 92 FINAL rev after MLFS comments.pdf,application/pdf
56,140391,Environmentally Sound Management and Final Disposal of Polychlorinated Biphenyls (PCBs),Waste management/disposal,Safeguarding the Environ., Implementation of MEA,5250000.00,2315140.23,3605568,CEO Endorsement (GEF Project Document 140391).pdf,3605568,CEO Endorsement (GEF Project Document 140391).pdf,CEO Endorsement (GEF Project Document 140391).pdf,https://downloads.unido.org/ot/36/05/3605568/CEO Endorsement (GEF Project Document 140391).pdf,application/pdf
57,150201, Phase 2 (Extension) of the Technical Assistance Project for the Up-Grading of the Ethiopian Leather and Leather Products Industry (SAP 101072),"Textiles, leather and substitutes",CreatingShared Prosperity, Agri. Busin. & Rural Dev.,2617932.04,2809618.64,13557966,Signedprodoc_150201.pdf,13557966,Signed Project Document_150201.pdf,Signedprodoc_150201.pdf,https://downloads.unido.org/ot/13/55/13557966/Signedprodoc_150201.pdf,application/pdf
58,180165,Enabling activities on HFC phase-down,Chemicals,Safeguarding the Environ., Implementation of MEA,150000.00,95809.39,17070172,Enabling activities for HFC phase-down in Morocco_81s ExCom.pdf,17070172,Enabling activities for HFC phase-down in Morocco_81s ExCom.pdf,Enabling activities for HFC phase-down in Morocco_81s ExCom.pdf,https://downloads.unido.org/ot/17/07/17070172/Enabling activities for HFC phase-down in Morocco_81s ExCom.pdf,application/pdf
61,210138,"Unlocking investments in early-growth stage adaptation micro-, small and medium-sized enterprises in Kenya and Uganda",nan,Safeguarding the Environ., RECP & LowCarbonPrd,40226.98,37131.04,25556297,AFB.PPRC_.28.35-Proposal-for-Innovation-Large-Project-for-Kenya-and-Uganda-1.pdf,25556297,AFB.PPRC_.28.35-Proposal-for-Innovation-Large-Project-for-Kenya-and-Uganda-1.pdf,AFB.PPRC_.28.35-Proposal-for-Innovation-Large-Project-for-Kenya-and-Uganda-1.pdf,https://downloads.unido.org/ot/25/55/25556297/AFB.PPRC_.28.35-Proposal-for-Innovation-Large-Project-for-Kenya-and-Uganda-1.pdf,application/pdf
78,100310,Environmentally-sound development of the power sector with the final disposal of PCBs,Chemicals,Safeguarding the Environ., Implementation of MEA,3000000.00,933784.53,8540585,PCBs project doc signed.pdf,8540585,PCBs project doc signed.pdf,PCBs project doc signed.pdf,https://downloads.unido.org/ot/85/40/8540585/PCBs project doc signed.pdf,application/pdf
82,190082,Enterprise Risk Management 2019,nan,Exec Direct & Strat Mngt, Exec.Direction & OrgAlign,75074.71,71521.53,14299815,190082-Enterprise Risk Management 2019_FINAL20190410.pdf,14299815,190082-Enterprise Risk Management 2019_FINAL20190410.pdf,190082-Enterprise Risk Management 2019_FINAL20190410.pdf,https://downloads.unido.org/ot/14/29/14299815/190082-Enterprise Risk Management 2019_FINAL20190410.pdf,application/pdf
83,220032,"Support to youth and women through the development of products, services and public-private partnerships",Small and medium-sized enterprises (SME) development,CreatingShared Prosperity, Women and Youth,3346878.35,69547.00,32891597,signed with GOE_MOF_SMSS06102023.pdf,32891597,signed with GOE_MOF_SMSS06102023.pdf,signed with GOE_MOF_SMSS06102023.pdf,https://downloads.unido.org/ot/32/89/32891597/signed with GOE_MOF_SMSS06102023.pdf,application/pdf
91,190382,"Appui à l#évolution du modèle institutionnel, économique et opérationnel du bureau de mise à niveau des entreprises",Industrial development,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,243706.07,98548.34,25261384,CAMEROUN_protocole d'accord_190382_annexe A.PDF,25261384,Project document,CAMEROUN_protocole d'accord_190382_annexe A.PDF,https://downloads.unido.org/ot/25/26/25261384/CAMEROUN_protocole d'accord_190382_annexe A.PDF,application/pdf
96,220244,HCFC phase-out Management Plan (Stage II),Biosphere protection,Safeguarding the Environ., Implementation of MEA,11000.00,4409.04,28680380,"1. Brunei Darussalam – HPMP Stage II, first tranche – project document.pdf",28680380,"1. Brunei Darussalam – HPMP Stage II, first tranche – project document.pdf","1. Brunei Darussalam – HPMP Stage II, first tranche – project document.pdf","https://downloads.unido.org/ot/28/68/28680380/1. Brunei Darussalam – HPMP Stage II, first tranche – project document.pdf",application/pdf
97,220242,HCFC phase-out management plan (stage III),Biosphere protection,Safeguarding the Environ., Implementation of MEA,90000.00,4476.74,28829058,1. Mexico – HPMP Stage III – preparatory funding request.pdf,28829058,1. Mexico – HPMP Stage III – preparatory funding request.pdf,1. Mexico – HPMP Stage III – preparatory funding request.pdf,https://downloads.unido.org/ot/28/82/28829058/1. Mexico – HPMP Stage III – preparatory funding request.pdf,application/pdf
98,140137,Business Development and Sustainable Job Creation in Iranwith Special Emphasis on High Impact Sectors Development ( e.g. Agro-Industries and Related),Small and medium-sized enterprises (SME) development,CreatingShared Prosperity, Agri. Busin. & Rural Dev.,3102863.16,3102863.16,2358760,DOC.PDF,2358760,Final Project Document (140137),DOC.PDF,https://downloads.unido.org/ot/23/58/2358760/DOC.PDF,application/pdf
99,220099,Chad - HFC Kigali Implementation Plan,Chemicals,Safeguarding the Environ., Implementation of MEA,51000.00,20423.48,27296648,1. Chad – Kigali HFC implementation plan – preparatory funding request.docx,27296648,1. Chad – Kigali HFC implementation plan – preparatory funding request.docx,1. Chad – Kigali HFC implementation plan – preparatory funding request.docx,https://downloads.unido.org/ot/27/29/27296648/1. Chad – Kigali HFC implementation plan – preparatory funding request.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
100,210194,Harnessing the water-energy-food nexus to address and adapt to climate change impacts in Tawi-Tawi,Water resources conservation (including data collection),Safeguarding the Environ., Clean energy access,56387.53,51772.11,31003442,Condensed FINAL ESIA SIT-SIB v05312023.pdf,31003442,Condensed FINAL ESIA SIT-SIB v05312023.pdf,Condensed FINAL ESIA SIT-SIB v05312023.pdf,https://downloads.unido.org/ot/31/00/31003442/Condensed FINAL ESIA SIT-SIB v05312023.pdf,application/pdf
103,100283,Promoting Energy Efficiency in Industrial Heat Systems and High Energy-Consuming (HEC) Equipment,nan,Safeguarding the Environ., RECP & LowCarbonPrd,5375000.00,5131718.68,3115093,CEO Endorsement (GEF Project Document 100283).pdf,3115093,CEO Endorsement (GEF Project Document 100283).pdf,CEO Endorsement (GEF Project Document 100283).pdf,https://downloads.unido.org/ot/31/15/3115093/CEO Endorsement (GEF Project Document 100283).pdf,application/pdf
104,220089,Morocco green energy transition,Energy policy and administrative management,Safeguarding the Environ., RECP & LowCarbonPrd,84112.15,75704.38,30411205,Project Document (220089).pdf,30411205,Project Document (220089).pdf,Project Document (220089).pdf,https://downloads.unido.org/ot/30/41/30411205/Project Document (220089).pdf,application/pdf
112,170127,UNIDO-India Country Programme 2018-2022 for Inclusive and Sustainable Industrial Development (ISID),nan,Cross-cutting Services, Regional Programmes,166446.06,41820.54,21389008,CP_2018-22_Signed.pdf,21389008,CP_2018-22_Signed.pdf,CP_2018-22_Signed.pdf,https://downloads.unido.org/ot/21/38/21389008/CP_2018-22_Signed.pdf,application/pdf
121,180339,HCFC phase-out management plan (stage II),Biosphere protection,Safeguarding the Environ., Implementation of MEA,223642.93,31269.85,27243560,ProjectDocument.pdf,27243560,ProjectDocument.pdf,ProjectDocument.pdf,https://downloads.unido.org/ot/27/24/27243560/ProjectDocument.pdf,application/pdf
126,150451,Country Programme for inclusive and sustainable industrial development in Montenegro 2018-2022,nan,Cross-cutting Services, Regional Programmes,196526.82,198107.84,8586305,UNIDO Country Programming Framework for Montenegro 2017-2021.pdf,8586305,UNIDO CP Montenegro 2018-2022.pdf,UNIDO Country Programming Framework for Montenegro 2017-2021.pdf,https://downloads.unido.org/ot/85/86/8586305/UNIDO Country Programming Framework for Montenegro 2017-2021.pdf,application/pdf
131,210122,"European Union support to trade, industry, growth and rapid market access (TIGARA)",Industrial development,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,8284442.31,133875.28,32602029,ProDoc_TIGARA project.pdf,32602029,"Project Document - UNIDO Project 210122 - EU Support to Trade, Industry, Growth and Rapid Market Access (TIGARA)",ProDoc_TIGARA project.pdf,https://downloads.unido.org/ot/32/60/32602029/ProDoc_TIGARA project.pdf,application/pdf
132,200297,"Improving quality, productivity and innovation for enhanced competitiveness of the Indian bicycle and bicycle parts industry (Bicycle project # phase 2)",nan,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,2212000.00,72922.84,30412061,200297 Pro doc Bicycle Project India 30 Jan 2023.pdf,30412061,200297 Pro doc Bicycle Project India 30 Jan 2023.pdf,200297 Pro doc Bicycle Project India 30 Jan 2023.pdf,https://downloads.unido.org/ot/30/41/30412061/200297 Pro doc Bicycle Project India 30 Jan 2023.pdf,application/pdf
133,150038,PCP - Programme for Country Partnership in Senegal,nan,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,1016891.37,989849.62,18939791,PTF3 Revised 150038_PCP_SEN_Coor_Revision2020 SEN 011020 Final USD.pdf,18939791,PTF3 Revised 150038_PCP_SEN_Coor_Revision2020 SEN 011020 Final USD.pdf,PTF3 Revised 150038_PCP_SEN_Coor_Revision2020 SEN 011020 Final USD.pdf,https://downloads.unido.org/ot/18/93/18939791/PTF3 Revised 150038_PCP_SEN_Coor_Revision2020 SEN 011020 Final USD.pdf,application/pdf
134,160122,Entrepreneurial competency-based framework for  industrial development,nan,CreatingShared Prosperity, Agri. Busin. & Rural Dev.,202083.41,215324.53,9315889,160122_GLO_ECP_prodoc_rev.pdf,9315889,160122_GLO_ECP_prodoc_rev.pdf,160122_GLO_ECP_prodoc_rev.pdf,https://downloads.unido.org/ot/93/15/9315889/160122_GLO_ECP_prodoc_rev.pdf,application/pdf
139,210284,Preparation of Kigali HFC implementation plan,Chemicals,Safeguarding the Environ., Implementation of MEA,39000.00,17301.42,24371983,1. Rwanda - Kigali HFC phase-down management plan - preparatory funding request.pdf,24371983,1. Rwanda - Kigali HFC phase-down management plan - preparatory funding request.pdf,1. Rwanda - Kigali HFC phase-down management plan - preparatory funding request.pdf,https://downloads.unido.org/ot/24/37/24371983/1. Rwanda - Kigali HFC phase-down management plan - preparatory funding request.pdf,application/pdf
140,210283,Preparation of Kigali HFC implementation,Chemicals,Safeguarding the Environ., Implementation of MEA,51000.00,38387.95,24370425,1. Namibia - Kigali HFC phase-down management plan - preparatory funding request.pdf,24370425,1. Namibia - Kigali HFC phase-down management plan - preparatory funding request.pdf,1. Namibia - Kigali HFC phase-down management plan - preparatory funding request.pdf,https://downloads.unido.org/ot/24/37/24370425/1. Namibia - Kigali HFC phase-down management plan - preparatory funding request.pdf,application/pdf
146,210269,BRAZIL - Preparation of HCFC phase-out management plan (stage III) (Overarching),Biosphere protection,Safeguarding the Environ., Implementation of MEA,25000.00,25032.31,24287221,1. Brazil - HPMP Stage III - preparatory funding - concept.pdf,24287221,1. Brazil - HPMP Stage III - preparatory funding - concept.pdf,1. Brazil - HPMP Stage III - preparatory funding - concept.pdf,https://downloads.unido.org/ot/24/28/24287221/1. Brazil - HPMP Stage III - preparatory funding - concept.pdf,application/pdf
147,210276,Preparation of HCFC phase-out management plan (stage II) (Overarching),Biosphere protection,Safeguarding the Environ., Implementation of MEA,60000.00,44233.16,24287426,1. Somalia - HPMP Stage II - preparatory funding - concept.pdf,24287426,1. Somalia - HPMP Stage II - preparatory funding - concept.pdf,1. Somalia - HPMP Stage II - preparatory funding - concept.pdf,https://downloads.unido.org/ot/24/28/24287426/1. Somalia - HPMP Stage II - preparatory funding - concept.pdf,application/pdf
160,200192,World Small Hydropower Development Report 2022,nan,Safeguarding the Environ., Clean energy access,69099.53,63795.93,19522527,WSHPDR2022_ProDoc_200192_30112020_finalized.docx,19522527,WSHPDR2022_ProDoc.docx,WSHPDR2022_ProDoc_200192_30112020_finalized.docx,https://downloads.unido.org/ot/19/52/19522527/WSHPDR2022_ProDoc_200192_30112020_finalized.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
163,220240,Kigali HFC implementation plan,Chemicals,Safeguarding the Environ., Implementation of MEA,39000.00,15385.27,28978327,1. Guinea Bissau – KIP – Preparatory funding request.PDF,28978327,1. Guinea Bissau – KIP – Preparatory funding request.PDF,1. Guinea Bissau – KIP – Preparatory funding request.PDF,https://downloads.unido.org/ot/28/97/28978327/1. Guinea Bissau – KIP – Preparatory funding request.PDF,application/pdf
164,210271,Preparation of Kigali HFC implementation,Chemicals,assigned,assigned,39000.00,14947.66,24345945,1. Lesotho - HFC phase-down plan - preparatory funding request.pdf,24345945,1. Lesotho - HFC phase-down plan - preparatory funding request.pdf,1. Lesotho - HFC phase-down plan - preparatory funding request.pdf,https://downloads.unido.org/ot/24/34/24345945/1. Lesotho - HFC phase-down plan - preparatory funding request.pdf,application/pdf
165,210108,(China) Country Programming Framework for Inclusive and Sustainable Industrial Development 2021-2025,Industrial development,Safeguarding the Environ., RECP & LowCarbonPrd,151889.36,12388.12,25089333,Project Document_Country Programme 2021-2025.pdf,25089333,Project Document_Country Programme 2021-2025.pdf,Project Document_Country Programme 2021-2025.pdf,https://downloads.unido.org/ot/25/08/25089333/Project Document_Country Programme 2021-2025.pdf,application/pdf
166,220123,Preparation of Kigali HFC implementation - Serbia,Chemicals,Safeguarding the Environ., Implementation of MEA,115000.00,13172.20,27084473,1. Serbia – KIP Stage I – preparatory finding request.pdf,27084473,1. Serbia – KIP Stage I – preparatory finding request.pdf,1. Serbia – KIP Stage I – preparatory finding request.pdf,https://downloads.unido.org/ot/27/08/27084473/1. Serbia – KIP Stage I – preparatory finding request.pdf,application/pdf
167,180005,UNIDO Country programme 2018-2024 to promote inclusive and sustainable industrial development in Venezuela,Agro-industries,Cross-cutting Services, Regional Programmes,395354.04,327907.71,15717926,UNIDO Country Programme VEN_EB rev_21.04.2020_clean 18.03.2021_signed.pdf,15717926,Signed CP Venezuela 180005.pdf,UNIDO Country Programme VEN_EB rev_21.04.2020_clean 18.03.2021_signed.pdf,https://downloads.unido.org/ot/15/71/15717926/UNIDO Country Programme VEN_EB rev_21.04.2020_clean 18.03.2021_signed.pdf,application/pdf
173,200052,GEF GOLD+ in Nigeria: Enhancing the formalization and mercury-free gold in Nigeria,Chemicals,Safeguarding the Environ., Implementation of MEA,3970000.00,136803.67,24008195,ESMP_200052_Nigeria_GOLD+.pdf,24008195,ESMP_200052_Nigeria_GOLD+.pdf,ESMP_200052_Nigeria_GOLD+.pdf,https://downloads.unido.org/ot/24/00/24008195/ESMP_200052_Nigeria_GOLD+.pdf,application/pdf
176,190321,Scaling up support and promotion of both South-South and triangular industrial cooperation and the UNIDO systems facilitating and improving the achievement of inclusive and sustainable industrial development and Sustainable Development Goal 9 and the,nan,Cross-cutting Services, Partnership & South-South,69248.19,72483.67,16102399,ProDoc_190321 Final.pdf,16102399,ProDoc_190321 Final.pdf,ProDoc_190321 Final.pdf,https://downloads.unido.org/ot/16/10/16102399/ProDoc_190321 Final.pdf,application/pdf
177,150097,Solar photovoltaic technology transfer from China to Fiji and the wider region of Pacific Island Countries and Territories,nan,Safeguarding the Environ., Clean energy access,289679.21,277693.66,15888312,150097_Fiji_ProDoc_cleared.pdf,15888312,150097_Fiji_ProDoc_cleared.pdf,150097_Fiji_ProDoc_cleared.pdf,https://downloads.unido.org/ot/15/88/15888312/150097_Fiji_ProDoc_cleared.pdf,application/pdf
178,190102,Promoting inclusive and sustainable industrial development through an active UNIDO membership in the Donor Committee for Enterprise Development,Business development services,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,95787.43,91417.12,14297873,Prodoc-DCED2019-22_3May2019.pdf,14297873,Prodoc-DCED2019-22_3May2019.pdf,Prodoc-DCED2019-22_3May2019.pdf,https://downloads.unido.org/ot/14/29/14297873/Prodoc-DCED2019-22_3May2019.pdf,application/pdf
181,190177,India Innovation and Systems Survey 2019,Statistical capacity building,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,1113826.77,1113826.77,15906152,Signed_Prodoc_190177_India Innovation and Systems Survey 2019.PDF,15906152,Signed_Prodoc_190177_India Innovation and Systems Survey 2019.PDF,Signed_Prodoc_190177_India Innovation and Systems Survey 2019.PDF,https://downloads.unido.org/ot/15/90/15906152/Signed_Prodoc_190177_India Innovation and Systems Survey 2019.PDF,application/pdf
185,190280,Building adaptation and resilience to climate change in the essential oil sector in Madagascar,"Energy generation, renewable sources - multiple technologies",Safeguarding the Environ., RECP & LowCarbonPrd,1796484.00,66222.33,29281215,ESMP_SAP_ID_190280_LDCF_Madagascar.pdf,29281215,ESMP_SAP_ID_190280_LDCF_Madagascar.pdf,ESMP_SAP_ID_190280_LDCF_Madagascar.pdf,https://downloads.unido.org/ot/29/28/29281215/ESMP_SAP_ID_190280_LDCF_Madagascar.pdf,application/pdf
197,190401,HCFC phase-out management plan (stage II),Biosphere protection,Safeguarding the Environ., Implementation of MEA,20000.00,18811.29,25208360,COTE D'IVOIRE PRP_ExCom 84 - FINAL.docx,25208360,COTE D'IVOIRE PRP_ExCom 84 - FINAL.docx,COTE D'IVOIRE PRP_ExCom 84 - FINAL.docx,https://downloads.unido.org/ot/25/20/25208360/COTE D'IVOIRE PRP_ExCom 84 - FINAL.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
198,210281,Kigali HFC implementation plan,Chemicals,Safeguarding the Environ., Implementation of MEA,39000.00,21476.68,24360012,1. Zambia - Kigali HFC phase-down management plan - preparatory funding request.pdf,24360012,1. Zambia - Kigali HFC phase-down management plan - preparatory funding request.pdf,1. Zambia - Kigali HFC phase-down management plan - preparatory funding request.pdf,https://downloads.unido.org/ot/24/36/24360012/1. Zambia - Kigali HFC phase-down management plan - preparatory funding request.pdf,application/pdf
199,230053,Baseline study on the cotton-to-textile value chain development in the C4 and Côte d'Ivoire,"Textiles, leather and substitutes",Adv. Econ.Competitiveness, Competitive trade & CSR,84070.79,16553.61,32089508,Project Concept_230053_Baseline study on the cotton-to-textile value chain development in the C4 and Côte d'Ivoire_May 2023.pdf,32089508,Project Concept_230053_Baseline study on the cotton-to-textile value chain development in the C4 and Côte d'Ivoire_May 2023.pdf,Project Concept_230053_Baseline study on the cotton-to-textile value chain development in the C4 and Côte d'Ivoire_May 2023.pdf,https://downloads.unido.org/ot/32/08/32089508/Project Concept_230053_Baseline study on the cotton-to-textile value chain development in the C4 and Côte d'Ivoire_May 2023.pdf,application/pdf
206,200213,Promoting public health and social resilience against COVID-19 by strengthening the domestic supply chain of personal protective equipment under a circular economy approach,Industrial development,CreatingShared Prosperity, HS & Post-crisis Rehab,519341.47,519341.47,23956288,ESMP_200213_Ghana_COVID19.pdf,23956288,ESMP_200213_Ghana_COVID19.pdf,ESMP_200213_Ghana_COVID19.pdf,https://downloads.unido.org/ot/23/95/23956288/ESMP_200213_Ghana_COVID19.pdf,application/pdf
207,130279,Greening Industry through Low Carbon Technology Applications for SMEs,nan,Safeguarding the Environ., RECP & LowCarbonPrd,1880000.00,771029.60,8885548,UNIDO GEF5 CCM Thailand MSP 5725_Greening Industry through Low Carbon Technology Applications for SMEs.pdf,8885548,UNIDO GEF5 CCM Thailand MSP 5725_Greening Industry through Low Carbon Technology Applications for SMEs.pdf,UNIDO GEF5 CCM Thailand MSP 5725_Greening Industry through Low Carbon Technology Applications for SMEs.pdf,https://downloads.unido.org/ot/88/85/8885548/UNIDO GEF5 CCM Thailand MSP 5725_Greening Industry through Low Carbon Technology Applications for SMEs.pdf,application/pdf
208,210070,HFC Phase Down Management Plan - Nigeria,Chemicals,Safeguarding the Environ., Implementation of MEA,25000.00,20988.16,22304310,HFC PRP Nigeria.pdf,22304310,HFC PRP Nigeria.pdf,HFC PRP Nigeria.pdf,https://downloads.unido.org/ot/22/30/22304310/HFC PRP Nigeria.pdf,application/pdf
209,120073,Utilizing Solar Energy for Industrial Process Heat in Egyptian Industry,nan,Safeguarding the Environ., RECP & LowCarbonPrd,6500000.00,6303401.14,3080549,GEF 5 - UNIDO - Egypt UNIDO ID 4790 CEO endorsement_resubmission 121114.....pdf,3080549,CEO Endorsement (GEF Project Document 120073),GEF 5 - UNIDO - Egypt UNIDO ID 4790 CEO endorsement_resubmission 121114.....pdf,https://downloads.unido.org/ot/30/80/3080549/GEF 5 - UNIDO - Egypt UNIDO ID 4790 CEO endorsement_resubmission 121114.....pdf,application/pdf
223,220132,HCFC Phase-out Management Plan (Stage III),Biosphere protection,Safeguarding the Environ., Implementation of MEA,90000.00,18224.18,27155655,Argentina_HPMP Stage III_PRP_Request.pdf,27155655,Argentina_HPMP Stage III_Preparatory funding request.pdf,Argentina_HPMP Stage III_PRP_Request.pdf,https://downloads.unido.org/ot/27/15/27155655/Argentina_HPMP Stage III_PRP_Request.pdf,application/pdf
224,210278,Kigali HFC implementation plan,Chemicals,Safeguarding the Environ., Implementation of MEA,39000.00,18299.42,24351081,1. Sierra Leone - Kigali HFC phase-down management plan - preparatroy funding request.pdf,24351081,1. Sierra Leone - Kigali HFC phase-down management plan - preparatroy funding request.pdf,1. Sierra Leone - Kigali HFC phase-down management plan - preparatroy funding request.pdf,https://downloads.unido.org/ot/24/35/24351081/1. Sierra Leone - Kigali HFC phase-down management plan - preparatroy funding request.pdf,application/pdf
227,140160,Environmentally Sound Management and Final Disposal of PCBs,Chemicals,Safeguarding the Environ., Implementation of MEA,975000.00,964396.44,3165772,GEF5 UNIDO CEO Approval Congo 5325 signed.PDF,3165772,GEF Project Document 140160,GEF5 UNIDO CEO Approval Congo 5325 signed.PDF,https://downloads.unido.org/ot/31/65/3165772/GEF5 UNIDO CEO Approval Congo 5325 signed.PDF,application/pdf
235,220007,Global Quality and Standards Programme (GQSP) - Phase 2,nan,Adv. Econ.Competitiveness, Competitive trade & CSR,2790696.90,69373.37,28875231,220007_ProDoc-GQSP 2.pdf,28875231,220007_ProDoc-GQSP 2.pdf,220007_ProDoc-GQSP 2.pdf,https://downloads.unido.org/ot/28/87/28875231/220007_ProDoc-GQSP 2.pdf,application/pdf
242,170017,Promoting sustainable bush-processing value chains in Namibia,Agro-industries,Field Operations Support, Field Operations Support,1884330.99,1840839.40,7524581,ProDoc Namibia 170017 signed.pdf,7524581,ProDoc Namibia 170017 signed.pdf,ProDoc Namibia 170017 signed.pdf,https://downloads.unido.org/ot/75/24/7524581/ProDoc Namibia 170017 signed.pdf,application/pdf
249,210033,GEF GOLD+ Nicaragua: Enhancing the formalization and mercury reduction in artisanal and small scale gold mining (ASGM) in Nicaragua,Precious metals/materials,Safeguarding the Environ., Implementation of MEA,3500000.00,170833.90,32676132,ESSSupportingDocument_Annex J - GOLD Nicaragua ESMP.pdf,32676132,ESSSupportingDocument_Annex J - GOLD Nicaragua ESMP.pdf,ESSSupportingDocument_Annex J - GOLD Nicaragua ESMP.pdf,https://downloads.unido.org/ot/32/67/32676132/ESSSupportingDocument_Annex J - GOLD Nicaragua ESMP.pdf,application/pdf
250,200316,Industrial policies for a circular economy,nan,Safeguarding the Environ., unassigned,95514.30,84850.97,21416333,PRODOC_200316..pdf,21416333,PRODOC_200316..pdf,PRODOC_200316..pdf,https://downloads.unido.org/ot/21/41/21416333/PRODOC_200316..pdf,application/pdf
251,150452,Country Programme for inclusive and sustainable industrial development in Albania 2020-2024,nan,Cross-cutting Services, Regional Programmes,203892.42,139552.88,17042954,20200313_CP Albania_Signed.pdf,17042954,UNIDO CP Albania 2020-2024.pdf,20200313_CP Albania_Signed.pdf,https://downloads.unido.org/ot/17/04/17042954/20200313_CP Albania_Signed.pdf,application/pdf
